x,y
0,70
1,8
2,95
3,92
4,3
5,92
6,60
7,100
8,55
9,50
10,34
11,13
12,84
13,64
14,57
15,16
16,32
17,50
18,22
19,75
20,25
21,52
22,58
23,47
24,56
25,80
26,34
27,49
28,73
29,45
30,64
31,61
32,38
33,66
34,58
35,71
36,58
37,24
38,22
39,4
40,16
41,30
42,60
43,74
44,51
45,83
46,21
47,62
48,46
49,52
50,57
51,79
52,55
53,95
54,51
55,40
56,18
57,7
58,41
59,59
60,45
61,70
62,75
63,4
64,78
65,40
66,94
67,90
68,98
69,60
70,13
71,93
72,22
73,36
74,25
75,27
76,98
77,94
78,71
79,6
80,54
81,85
82,47
83,19
84,94
85,7
86,35
87,10
88,36
89,81
90,42
91,71
92,13
93,41
94,25
95,16
96,13
97,3
98,99
