x,y
0,70
1,8
2,95
3,92
4,3
5,92
6,60
7,100
8,55
9,50
10,34
11,13
12,84
13,64
14,3
15,48
16,19
17,24
18,72
19,20
20,73
21,19
22,39
23,93
24,69
25,13
26,105
27,60
28,3
29,85
30,90
31,32
32,37
33,46
34,99
35,69
36,33
37,34
38,0
39,0
40,2
41,29
42,61
43,92
44,95
45,18
46,71
47,32
48,46
49,69
50,57
51,79
52,55
53,95
54,51
55,40
56,18
57,7
58,41
59,59
60,45
61,70
62,75
63,4
64,78
65,40
66,94
67,90
68,98
69,60
70,13
71,93
72,22
73,36
74,25
75,27
76,98
77,94
78,71
79,6
80,54
81,85
82,47
83,19
84,94
85,7
86,35
87,10
88,36
89,81
90,42
91,71
92,13
93,41
94,25
95,16
96,13
97,3
98,99
